rank,name,margin,clean,touches,pts,note
1,Lucía Vega,6,24,1,1840,Defending champion
2,Tomás Iriarte,7,9,0,1610,▲ Qualifier sensation
3,Paula Bracco,8,19,2,1555,Two finals this season
4,Néstor Ovalle,9,21,3,1490,"Most clean parks, 2025"
5,Camila Furió,10,17,1,1422,Never forfeited
6,Rodrigo Sanz,11,15,4,1360,The crowd favourite
7,Inés Caraballo,12,14,2,1298,"Fastest clock, R1"
8,Marco Pelliza,13,12,5,1240,Big van specialist
9,Sofía Rendón,14,11,3,1185,Rookie of the year
10,Julián Vera,15,10,4,1120,Up four places
